,Company Name,Date of Tweet,Text of Tweet,Tweet ID
0,22ND CENTURY GROUP INC,04-Aug-15,"22nd Century Group, Inc. - PRESS RELEASE - August 4, 2015 - http://t.co/uJGdqwDwu2",628619741217697793
1,22ND CENTURY GROUP INC,04-Aug-15,"22nd Century Group, Inc. - PRESS RELEASE - June 17, 2015 - http://t.co/9j4OxJ4AiI",628586739871789058
2,22ND CENTURY GROUP INC,17-Jun-15,"22nd Century Group, Inc. - PRESS RELEASE - June 15, 2015 - http://t.co/A9EFJzi9mx",611219279292141568
3,22ND CENTURY GROUP INC,16-Jun-15,"22nd Century Group, Inc. - PRESS RELEASE - May 28, 2015 - http://t.co/oNLlOfanr5",610825526891139072
4,22ND CENTURY GROUP INC,28-May-15,"22nd Century Group, Inc. - PRESS RELEASE - May 26, 2015 - http://t.co/HMRmvUQvDf",603956172228579330
5,22ND CENTURY GROUP INC,26-May-15,"22nd Century Group, Inc. - PRESS RELEASE - May 21, 2015 - http://t.co/5AmMQZhlDf",603275790327947265
6,22ND CENTURY GROUP INC,21-May-15,"22nd Century Group, Inc. - PRESS RELEASE - May 21, 2015 - http://t.co/hbpkfWiRYk",601487838899806209
7,22ND CENTURY GROUP INC,20-Jan-15,22nd Century Announces First Shipments of RED SUN and Introduces Enhanced http://t.co/9Kx5zpisjC Consumer Website: http://t.co/CNlk8Vm9HR,557606154826940419
8,3M Company,04-May-20,"@spoiELLEd Hi - Thank you for your support during this time. The safety of our the public, including healthcare workers and first-responders, must be paramount during this global crisis. We remain committed to supporting those on the front lines working to save lives. Thank you!",1257367112760340481
9,3M Company,04-May-20,"@GoonerGolf Hi - Thank you for reaching out to us. To fight fraud and price gouging activities, we have created a new hotline. If you need help identifying authentic 3M products or ensuring products are from 3M authorized distributors, please give us a call at 1-800-426-8688. Thanks!",1257365762001551368
10,3M Company,04-May-20,@The_Hermithood We have not and will not increase prices for respirators during this crisis. We’re working with law enforcement agencies to aggressively pursue third parties seeking to take advantage of the crisis. You can report concerns about price gouging at https://t.co/5YNxr9sOG1 Thank you.,1257359101727825923
11,3M Company,04-May-20,"@BostonFire We really appreciate seeing critical products getting to frontline workers. Thank you for all you are doing to help protect people and save lives. As a leading provider of personal protective equipment, we remain committed to protecting healthcare workers &amp; first responders.",1257344969775427586
