id,AuthorName,date,PERMNO,TICKER,company
617,TrinityResearch,10-Sep-14,12699,VNET,21VIANET GROUP INC
623,The GeoTeam,18-Sep-14,12699,VNET,21VIANET GROUP INC
611,The GeoTeam,27-Aug-14,14523,XXII,22ND CENTURY GROUP INC
1109,The Street Sweeper,5-Oct-16,14523,XXII,22nd Century Group Inc
1359,Fuzzy Panda,2-Feb-18,14523,XXII,22nd Century Group Inc
854,Citron Research,12-Oct-15,14554,TWOU,2U Inc
1126,Lakewood Capital Manage,28-Oct-16,14554,TWOU,2U Inc
1433,Spruce Point Capital Ma,19-Jul-18,14554,TWOU,2U Inc
358,Citron Research,14-Feb-13,78664,DDD,3 D SYSTEMS CORP DEL
473,Dialectic Capital,20-Nov-13,78664,DDD,3 D SYSTEMS CORP DEL
481,Whitney Tilson,3-Dec-13,78664,DDD,3 D SYSTEMS CORP DEL
1542,Glenview Capital Manage,6-May-19,22592,MMM,3M Company
615,Muddy Waters Research,9-Sep-14,14280,WBAI,500 COM LTD
727,The GeoTeam,1-Apr-15,14280,WBAI,500 COM LTD
1660,Grizzly Research LLC,13-Feb-20,14209,WUBA,58.com Inc
706,Bleecker Street Researc,3-Mar-15,14945,AAC,A A C HOLDINGS INC
206,Prescience Investment G,17-Jun-11,92519,APWR,A POWER ENERGY GENERATION SYS L
355,Prescience Investment G,31-Jan-13,13255,AVG,A V G TECHNOLOGIES N V
797,Quintessential Capital,21-Jul-15,14945,AACH,AAC Holdings Inc
1432,Citron Research,19-Jul-18,13721,ABBV,AbbVie Inc.
1149,Mako Research,11-Dec-16,87656,ABEO,"Abeona Therapeutics, Inc"
1368,Richard Pearson,15-Feb-18,87656,ABEO,"Abeona Therapeutics, Inc"
1579,Mako Research,31-Jul-19,87656,ABEO,"Abeona Therapeutics, Inc"
1100,Long-Short Value,23-Sep-16,16051,ACIA,Acacia Communications Inc
1177,Lakewood Capital Manage,24-Jan-17,16051,ACIA,Acacia Communications Inc
1461,Marcus Aurelius Value,11-Oct-18,13105,ACHC,Acadia Healthcare Company Inc.
1430,FFJ,9-Jul-18,90177,ACAD,ACADIA Pharmaceuticals Inc
638,The Street Sweeper,14-Oct-14,84184,AXDX,ACCELERATE DIAGNOSTICS INC
700,Shareholder Watchdog,18-Feb-15,84184,AXDX,ACCELERATE DIAGNOSTICS INC
714,Citron Research,11-Mar-15,84184,AXDX,ACCELERATE DIAGNOSTICS INC
710,Citron Research,9-Mar-15,84184,AXDX,Accelerate Diagnostics Inc.
1602,White Diamond Research,16-Sep-19,84184,AXDX,Accelerate Diagnostics Inc.
1207,Alpha Exposure,15-Mar-17,14530,AKAO,Achaogen Inc
1228,Art Doyle,21-Apr-17,15775,ACRS,Aclaris Therapeutic Inc
1229,Art Doyle,25-Apr-17,15775,ACRS,Aclaris Therapeutics Inc
1754,J Capital Research Limi,8-Oct-20,17045,ACMR,ACM Research Inc
698,Hayman Capital Manageme,10-Feb-15,91086,ACOR,ACORDA THERAPEUTICS INC
336,GeoInvesting (FG Alpha,6-Dec-12,13331,AQ1,Acquity Group Ltd
323,Prescience Point,31-Oct-12,12719,ACTV,ACTIVE NETWORK INC
1004,The Street Sweeper,4-May-16,82163,ADMP,Adamis Pharmaceuticals Corporati
1332,Art Doyle,30-Nov-17,15361,ADAP,Adaptimmune Therapeutics Plc
843,Long-Short Value,25-Sep-15,14713,ADPTQ,Adeptus Health Inc
941,Lakewood Capital Manage,8-Feb-16,14713,ADPTQ,Adeptus Health Inc
193,Kerrisdale Capital Mana,5-May-11,92324,ABAT,ADVANCED BATTERY TECHNOLS INC
1007,Lakewood Capital Manage,10-May-16,14759,WMS,Advanced Drainage Systems Inc
586,The Street Sweeper,11-Jul-14,90400,ADES,ADVANCED EMISSIONS SOLUTIONS IN
1374,Viceroy Research,13-Mar-18,61241,AMD,Advanced Micro Devices Inc.
995,Marc Cohodes,29-Apr-16,15418,CXRXF,Advanz Pharma Corp Ltd.
1106,Lambda Research,4-Oct-16,15418,CXRXF,Advanz Pharma Corp Ltd.
1111,Krensavage Asset Manage,7-Oct-16,15418,CXRXF,Advanz Pharma Corp Ltd.
1172,Raging Capital Manageme,16-Jan-17,15418,CXRXF,Advanz Pharma Corp Ltd.
676,Richard Pearson,21-Jan-15,14237,ADXS,ADVAXIS INC
1072,Spruce Point Capital Ma,16-Aug-16,91975,ACM,AECOM
530,The GeoTeam,28-Mar-14,12347,AEGR,AEGERION PHARMACEUTICALS INC
825,Hayman Capital Manageme,28-Aug-15,12347,AEGR,AEGERION PHARMACEUTICALS INC
466,Matt Berry,11-Nov-13,12347,AEGR,Aegerion Pharmaceuticals Inc.
598,Richard Pearson,11-Aug-14,14689,AMTX,AEMETIS INC
1566,Mako Research,15-Jul-19,14238,AERI,"Aerie Pharmaceuticals, Inc."
1435,GlassHouse Research,19-Jul-18,20765,AJRD,Aerojet Rocketdyne Holdings Inc
1529,Spruce Point Capital Ma,9-Apr-19,20765,AJRD,Aerojet Rocketdyne Holdings Inc
697,White Diamond Research,10-Feb-15,89399,AROPQ,Aeropostale Inc
1323,Spruce Point Capital Ma,8-Nov-17,91733,AVAV,AeroVironment Inc.
1415,Marcus Aurelius Value,17-May-18,91733,AVAV,AeroVironment Inc.
439,Alpha Exposure,28-Aug-13,91657,AFFY,"Affymax, Inc."
1632,Lombard Odier Investmen,14-Nov-19,28222,APD,Air Products and Chemicals Inc.
1102,The Street Sweeper,26-Sep-16,16247,AIRG,Airgain Inc
749,Richard Pearson,28-Apr-15,92427,AMCN,AIRMEDIA GROUP INC
1690,Quintessential Capital,20-Apr-20,18906,SONG,Akazoo SA
1699,Biotech Research Partne,12-May-20,14531,AKBA,Akebia Therapeutics Inc
1665,Night Market Research,21-Feb-20,17326,KERN,Akerna Corp
1221,The Street Sweeper,11-Apr-17,16625,AKTS,Akoustis Technologies Inc
1274,Mako Research,9-Aug-17,16625,AKTS,Akoustis Technologies Inc
1627,Mako Research,31-Oct-19,16625,AKTS,Akoustis Technologies Inc
837,John Hempton,16-Sep-15,14888,BABA,ALIBABA GROUP HOLDING LTD
881,Kynikos Associates,6-Nov-15,14888,BABA,ALIBABA GROUP HOLDING LTD
981,J Capital Research Limi,13-Apr-16,14888,BABA,Alibaba.com Limited
1685,Spruce Point Capital Ma,9-Apr-20,88860,ALGN,Align Technology Inc.
1643,Seligman Investments,18-Dec-19,17948,ALLK,Allakos Inc
1668,Muddy Waters Research,26-Feb-20,17948,ALLK,Allakos Inc
1388,Quoth the Raven,17-Apr-18,91659,ALGT,Allegiant Travel Company
1074,Citron Research,19-Aug-16,89002,ADS,Alliance Data Systems Corporatio
368,John Hempton,12-Mar-13,87198,ARLP,ALLIANCE RESOURCE PARTNERS
983,The Street Sweeper,19-Apr-16,91038,AMM.T,"Almaden Minerals, Ltd."
363,Richard Pearson,25-Feb-13,90178,ALNY,ALNYLAM PHARMACEUTICALS INC
1653,White Diamond Research,29-Jan-20,91348,ATEC,Alphatec Holdings Inc.
522,Glaucus Research,19-Mar-14,14127,AAMC,ALTISOURCE ASSET MANAGEMENT COR
380,Quoth the Raven,19-Apr-13,79122,AMRN,Amarin Corporation PLC
29,Pershing Square,23-May-07,76757,ABK,AMBAC FINANCIAL GROUP INC
39,Whitney Tilson,7-Feb-08,76757,ABK,AMBAC FINANCIAL GROUP INC
435,Prescience Investment G,26-Aug-13,13634,AMBA,AMBARELLA INC
789,Citron Research,19-Jun-15,13634,AMBA,AMBARELLA INC
1132,Real Talk Investments,10-Nov-16,14499,AMBR,Amber Road Inc
1675,Spruce Point Capital Ma,10-Mar-20,18724,AMCR,Amcor PLC
1506,Spruce Point Capital Ma,23-Jan-19,86144,DOX,Amdocs Limited
56,Citron Research,12-Aug-08,80795,AMED,AMEDISYS INC
90,Citron Research,15-Oct-09,80795,AMED,AMEDISYS INC
1540,Citron Research,2-May-19,80795,AMED,Amedisys Inc
1009,Hoplite Capital Managem,12-May-16,21020,AAL,American Airlines Group Inc.
906,FultonView Research,9-Dec-15,85271,ACAS,AMERICAN CAPITAL LTD
910,The GeoTeam,10-Dec-15,85271,ACAS,AMERICAN CAPITAL LTD
82,Asensio,5-Aug-09,90780,AOBI,American Oriental Bioengineering
1265,Richard Pearson,10-Jul-17,16024,ARA,American Renal Associates Holdin
47,Citron Research,12-Jun-08,77175,AMSC,AMERICAN SUPERCONDUCTOR CORP
55,Citron Research,6-Aug-08,77175,AMSC,AMERICAN SUPERCONDUCTOR CORP
102,Citron Research,16-Mar-10,77175,AMSC,AMERICAN SUPERCONDUCTOR CORP
46,Citron Research,13-May-08,77175,AMSC,American Superconductor Corporat
933,The Street Sweeper,20-Jan-16,77175,AMSC,American Superconductor Corporat
1528,White Diamond Research,25-Mar-19,77175,AMSC,American Superconductor Corporat
421,Muddy Waters Research,17-Jul-13,86111,AMT,AMERICAN TOWER CORP NEW
1455,Hindenburg Research,1-Oct-18,16545,USA.T,Americas Gold and Silver Corpora
655,Spruce Point Capital Ma,13-Nov-14,85257,AME,AMETEK Inc
821,Hayman Capital Manageme,22-Aug-15,14008,AMGN,AMGEN INC
672,The Street Sweeper,13-Jan-15,13631,ANFI,AMIRA NATURE FOODS LTD
692,Prescience Point,9-Feb-15,13631,ANFI,AMIRA NATURE FOODS LTD
263,Martin Shkreli,7-Jan-12,12789,AMPE,AMPIO PHARMACEUTICALS INC
402,Greenwich Research Grou,6-Jun-13,12789,AMPE,AMPIO PHARMACEUTICALS INC
685,Alpha Exposure,27-Jan-15,12789,AMPE,AMPIO PHARMACEUTICALS INC
1351,White Diamond Research,9-Jan-18,12789,AMPE,Ampio Pharmaceuticals Inc.
1370,Night Market Research,22-Feb-18,12789,AMPE,Ampio Pharmaceuticals Inc.
841,Richard Pearson,24-Sep-15,15599,BETR,AMPLIFY SNACK BRANDS INC
923,Long-Short Value,5-Jan-16,15599,BETR,Amplify Snack Brands Inc
487,The GeoTeam,12-Dec-13,91603,AFSI,AMTRUST FINANCIAL SERVICES INC
513,Gotham Investing,26-Feb-14,91603,AFSI,AMTRUST FINANCIAL SERVICES INC
668,Alistair Capital Manage,19-Dec-14,91603,AFSI,AMTRUST FINANCIAL SERVICES INC
1210,GeoInvesting (FG Alpha,20-Mar-17,91603,AFSI,AmTrust Financial Services Inc.
516,The Street Sweeper,7-Mar-14,12307,AMRS,AMYRIS INC
819,Hayman Capital Manageme,20-Aug-15,12392,ANAC,ANACOR PHARMACEUTICALS INC
918,Melissa Davis,30-Dec-15,15776,AVXL,ANAVEX LIFE SCIENCES CORP
1000,GeoInvesting (FG Alpha,2-May-16,15776,AVXL,Anavex Life Sciences Corp
1067,Aristides Capital,12-Aug-16,15776,AVXL,Anavex Life Sciences Corp
