,id
0,845164492975570948
1,2914036607
2,15728569
3,41580964
4,378197959
5,
6,753625791695458304
7,792354859
8,
9,61781392
10,792354859
11,3313753544
12,
13,
14,55319780
15,300977923
16,
17,
18,47433937
19,19404869
20,3108177851
21,595478653
22,
23,2694564780
24,
25,63538464
26,
27,
28,2468072484
29,3905265073
30,633015660
31,1313240888861229064
32,1254843498479616003
33,256996215
34,28436760
35,606283272
36,3959940263
37,920002351280226304
38,846095228
39,274161869
40,
41,2707283114
42,15648399
43,29511514
44,
45,50405635
46,40272933
47,581081383
48,1101575714422312960
49,
50,1076600557
51,
52,17028879
53,
54,347576812
55,436851926
56,531892451
57,768820543151828993
58,790608103506976769
59,
60,41642447
61,
62,20534827
63,1430272043564486657
64,3280850588
65,
66,478871918
67,14861876
68,
69,869656477492887552
70,39634774
71,1019909521
72,55592183
73,
74,109634966
75,327269545
76,696650947452407808
77,2800834785
78,1146190620005847040
79,3196650367
80,988456283287121920
81,
82,17077093
83,30875335
84,1388393642
85,
86,2892097336
87,
88,50501415
89,27068068
90,22536055
91,
92,1123959945572114436
93,816307422574899200
94,
95,
96,3063942539
97,1021425287517687810
98,331736512
99,4447156574
100,3278868348
101,56692087
102,741321570291851264
103,57422003
104,81867350
105,29770061
106,103948558
107,872894226043940864
108,254111345
109,
110,385556088
111,
112,249007010
113,1153858082159509504
114,2201834586
115,39657792
116,19992977
117,17226612
118,166042524
119,250719356
120,23008510
121,963888135896616961
122,1522302537357053957
123,473485939
124,
125,519371973
126,2824527880
127,274720233
128,246196403
129,32166535
130,1362542747953946624
131,
132,14934456
133,
134,975824443401318400
135,3086783734
136,155650832
137,777040082
138,
139,130551969
140,526516239
141,
142,18226366
143,14230833
144,
145,237286205
146,34010976
147,45878002
148,1265348951525527554
149,
150,274720233
151,1600143296
152,246196403
153,61212253
154,987067036131123200
155,942790337885597697
156,19732466
157,808722839239016448
158,182089054
159,2546788616
160,486287424
161,712696037996015616
162,15347711
163,169327127
164,97722136
165,117642841
166,117642841
167,
168,32792141
169,965719394939633665
170,326239999
171,3092413018
172,22553169
173,1931054371
174,
175,
176,22177599
177,4889144963
178,172047669
179,15101714
180,
181,241252194
182,1202641345556430848
183,
184,974764578
185,556912247
186,39462076
187,390342918
188,3193429182
189,
190,852997575871475715
191,130887620
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,141341662
213,58678337
214,
215,
216,1584331458
217,201938371
218,
219,426373342
220,4202487591
221,
222,15384880
223,128668358
224,36139959
225,36139959
226,23847670
227,2282654004
228,380484026
229,19673326
230,89750467
231,121239895
232,208116222
233,45710831
234,
235,56745670
236,364230729
237,
238,123991499
239,2969779155
240,940299879477215232
241,719442375739723776
242,796009601128943616
243,19922801
244,133202523
245,1364350746389405696
246,7023592
247,4889144963
248,16785615
249,740919810091978752
250,16530417
251,913261260
252,
253,28401593
254,
255,2280971304
256,900457517578375170
257,
258,26680601
259,142788514
260,42709895
261,17953019
262,2457206925
263,306180764
264,19684990
265,
266,
267,
268,
269,
270,
271,
272,47480415
273,
274,140286187
275,17908262
276,1248284401714094081
277,4816942888
278,
279,2328939404
280,26787673
281,1336425323500630025
282,1725960588
283,
284,284155407
285,245366542
286,
287,
288,
289,88953642
290,3599418317
291,556213350
292,18793216
293,1054803637
294,2412536996
295,108435582
296,3970440019
297,382790369
298,
299,
300,
301,301112153
302,
303,9261102
304,817148316291100675
305,235318769
306,772294016
307,557142936
308,425887152
309,3439282840
310,21783220
311,288864885
312,
313,58561993
314,43149222
315,
316,14211285
317,713090820
318,40245544
319,
320,17170147
321,
322,
323,
324,28676469
325,
326,37711640
327,89840669
328,557228016
329,114897776
330,
331,19696161
332,
333,540419983
334,54769209
335,463224115
336,
337,31444922
338,1531669496
339,49924953
340,14749606
341,996472037064536065
342,971787604868857856
343,
344,189171565
345,
346,20096207
347,1252975478819958785
348,42660090
349,
350,2317547413
351,2472995929
352,
353,477875139
354,
355,
356,120242843
357,94343626
358,36665547
359,
360,383761179
361,132588642
362,90749908
363,138848141
364,26286427
365,3004202126
366,24773282
367,
368,2612233700
369,3891943959
370,
371,227488204
372,985875360553295872
373,250395496
374,1430947748715536385
375,989531049356034049
376,268020193
377,
378,1280234585515646976
379,
380,855033546800549890
381,2385440851
382,102452340
383,917080110
384,17393790
385,42867610
386,1080951002
387,2231617081
388,317844108
389,
390,
391,737748628299649024
392,185718976
393,18020225
394,
395,762778210182438913
396,
397,2709797437
398,103755873
399,127889665
400,3219376756
401,
402,
403,1174426031010152448
404,
405,1686978648
406,2650413864
407,1283804519743266818
408,2731258070
409,3282719874
410,
411,1222130588469153792
412,2732604690
413,499963220
414,337741753
415,1911818922
416,32111865
417,1060997204
418,
419,37695691
420,3148538701
421,100637369
422,1178978752405082112
423,1244175030
424,22258315
425,15324722
426,
427,
428,577386948
429,
430,
431,16898649
432,30685623
433,482239996
434,17906684
435,742300950606577664
436,32340023
437,
438,19365523
439,
440,
441,1139237706859458560
442,
443,1270755957308395521
444,18462157
445,1202670477770022912
446,267399199
447,2721644214
448,756552282582417408
449,2791959767
450,15849929
451,
452,3401937436
453,741315794466967552
454,23430560
455,15838969
456,1578583062
457,1075820375320219648
458,
459,
460,594684239
461,1339803252
462,2413330560
463,876846546318491649
464,785528807906213889
465,15897147
466,
467,
468,
469,1346169371283120128
470,
471,
472,763107598451154945
473,1047742973348331521
474,633611893
475,101290875
476,938171367677194241
477,11071292
478,
479,17193794
480,419991458
481,556035047
482,4513219452
483,
484,
485,2880366354
486,731606587
487,
488,10673252
489,
490,
491,172549344
492,
493,2362483418
494,72957023
495,817132733239611393
496,787526101006422016
497,
498,
499,17331736
500,16629077
501,1346296067764047875
502,
503,12494562
504,
505,
506,14458280
507,3201946217
508,
509,877981929236307968
510,111659710
511,208116843
512,
513,1367646397240123393
514,2304400190
515,
516,491611340
517,
518,956939036597374982
519,1141125162605019136
520,21127905
521,31383495
522,613772062
523,
524,792054110904213504
525,2803191
526,1261303662376296453
527,216478527
528,18242276
529,602132594
530,31521078
531,66451590
532,335199434
533,62515374
534,1138650332786036736
535,10247222
536,209699058
537,951787758242226177
538,1531714327
539,476238744
540,289990305
541,28137354
542,
543,330583045
544,17874882
545,2420725585
546,211144747
547,
548,21504589
549,2204200147
550,18994444
551,
552,2434593680
553,
554,701421997
555,1445823721793638401
556,29599598
557,855516833243422721
558,2889259650
559,
560,
561,380389113
562,1860080138
563,15783127
564,2319194858
565,69666312
566,
567,17394023
568,109696692
569,
570,39034227
571,
572,454213077
573,45549431
574,
575,552140862
576,
577,
578,
579,165771313
580,1255141361163972608
581,
582,
583,609130151
584,
585,33998866
586,10257092
587,293060875
588,
589,
590,216487079
591,
592,10503302
593,
594,
595,19336500
596,16252784
597,18454339
598,1183415924
599,407799147
600,
601,278895111
602,17314753
603,16908855
604,794923172244193280
605,748888602768207872
606,943639007992340480
607,106419646
608,13058772
609,
610,18989209
611,
612,2742196051
613,1118692160306470912
614,810292569884262401
615,
616,1329843642
617,930519025
618,83593070
619,558797310
620,121162987
621,180912714
622,98458823
623,86948180
624,33681369
625,
626,24537541
627,15109072
628,
629,
630,46451484
631,3185541198
632,552256804
633,600472863
634,28162299
635,74286565
636,19330463
637,
638,18084100
639,2820656543
640,23471129
641,834580675151802368
642,26195165
643,63253045
644,
645,256648662
646,
647,20242234
648,
649,982375396263038977
650,982375396263038977
651,745357855
652,1367644549800226816
653,91000097
654,
655,19013415
656,2563632655
657,3203464168
658,17027323
659,148872151
660,18463884
661,763459217705541633
662,1392529601096667136
663,521695469
664,
665,52846066
666,15141406
667,25081901
668,36589341
669,1643983478
670,532952294
671,180798800
672,803360768154419200
673,117611044
674,
675,728322213070307328
676,53111505
677,
678,261871704
679,
680,86119228
681,4851295378
682,2669218290
683,380546646
684,24850962
685,865549663331532800
686,977603808
687,26061631
688,394817348
689,406174766
690,1253795311211950081
691,3091458814
692,969226096867708928
693,105531522
694,16573941
695,60991828
696,
697,832920523587850242
698,1128425520410927104
699,26247736
700,1949928709
701,
702,334094849
703,
704,16206437
705,61559439
706,4121224107
707,977603808
708,
709,4276828762
710,
711,
712,1253795311211950081
713,2493169274
714,1083082019020500992
715,
716,737994912688398336
717,1418620747501621248
718,2233458006
719,
720,871726727835398144
721,861657883532025856
722,121580581
723,173904147
724,983815555944714240
725,726272329865527296
726,
727,602184843
728,169098825
729,2913798339
730,549570118
731,15038742
732,
733,
734,3195855586
735,2729521950
736,237311264
737,580167145
738,1158184778
739,20105935
740,326211272
741,27039884
742,3254159810
743,
744,1294012152903155712
745,
746,141124886
747,
748,
749,
750,
751,17448575
752,3193385906
753,330631084
754,25760403
755,1541461
756,
757,467847061
758,
759,1281267374881112067
760,1474450741095911427
761,3294117652
762,17498138
763,
764,
765,
766,461301558
767,2285738174
768,
769,
770,31496613
771,1633994564
772,
773,979244048
774,
775,438381992
776,60399344
777,381690716
778,
779,3331681
780,20804169
781,966317907180507137
782,
783,207505157
784,
785,
786,29658846
787,37959591
788,5796972
789,46714602
790,793899972919861248
791,
792,
793,
794,19359597
795,2841626465
796,771833052
797,827575969321848833
798,
799,
800,4855118894
801,21399166
802,1199234756908445696
803,
804,100606370
805,14972869
806,43359529
807,149833456
808,808787681807396864
809,173818416
810,
811,
812,18767123
813,
814,
815,599318900
816,
817,1009925912
818,1253075449594253312
819,16630436
820,1336714309
821,98393884
822,84623395
823,
824,25155195
825,33667777
826,
827,3907640123
828,
829,
830,
831,475255646
832,
833,309691956
834,34618434
835,
836,1040240286159515648
837,
838,522734100
839,971658366316560386
840,3145472431
841,2876545252
842,
843,3194019667
844,1345185103
845,14501065
846,20460581
847,516100406
848,34395888
849,35847221
850,63202034
851,
852,20514552
853,
854,89202951
855,
856,298104693
857,
858,
859,
860,
861,912756582076833793
862,
863,20282100
864,20663500
865,
866,206378828
867,809083633671643136
868,
869,1362609853244538880
870,14762127
871,19464428
872,
873,15766070
874,300157906
875,369779900
876,867081141156593664
877,
878,
879,
880,
881,132506479
882,52044150
883,29654606
884,17824922
885,20017714
886,1548636589
887,
888,314542577
889,
890,32397355
891,
892,570321375
893,
894,41593791
895,919341469
896,180411820
897,
898,
899,
900,
901,
902,
903,
904,
905,1172004834360188928
906,43925600
907,3308577833
908,
909,728580960
910,904572325
911,31453817
912,4832046792
913,59841697
914,
915,212255045
916,3260100206
917,
918,888446116684939264
919,17136315
920,24906749
921,25425478
922,1214574897277657090
923,1440757093812748290
924,374192908
925,292731792
926,52666548
927,
928,
929,2575205822
930,2317779512
931,18892107
932,45171924
933,1018195504566587392
934,1261448364060803073
935,491423657
936,93017945
937,9624042
938,3845759937
939,24083300
940,
941,
942,778975429
943,19671234
944,374598930
945,927909012976398336
946,
947,
948,1018881552217006081
949,31109136
950,728580960
951,1418173861
952,
953,33801606
954,
955,
956,89084561
957,
958,74731237
959,14624975
960,18947406
961,
962,
963,1345106226
964,47351125
965,
966,1563881077
967,17594375
968,309814390
969,
970,4139065941
971,539247187
972,930091
973,
974,7292532
975,40713842
976,2890818156
977,3418834949
978,134860670
979,1273329544699625472
980,22157556
981,1022874148014575616
982,16824044
983,
984,13298072
985,214962279
986,
987,854658329943134208
988,132262229
989,897610782
990,3439976193
991,1464081768965881861
992,
993,
994,
995,1270429548
996,14825399
997,48169338
998,
999,39549911
1000,28460551
1001,1286934475
1002,15936194
1003,1929460038
1004,783214
1005,74166588
1006,880051095191638016
1007,15836048
1008,
1009,3313574923
1010,128966591
1011,
1012,1050206232538177538
1013,2371122726
1014,1629464762
1015,
1016,39678503
1017,
1018,59474719
1019,
1020,369562885
1021,16893345
1022,171163790
1023,28134825
1024,
1025,3313574923
1026,
1027,
1028,1629464762
1029,
1030,435079031
1031,252523064
1032,2607757734
1033,813002623972417536
1034,15100838
1035,51355752
1036,
1037,3265920846
1038,1280976089951555584
1039,14266642
1040,
1041,
1042,19661589
1043,3061863879
1044,
1045,88656574
1046,4446747389
1047,61053820
1048,19303263
1049,74550977
1050,2469080190
1051,3760283959
1052,82687438
1053,988435043142975488
1054,
1055,22793561
1056,240160993
1057,
1058,41272609
1059,1339992411192369152
1060,143099084
1061,48737383
1062,2467791
1063,1149080668770406400
1064,17230678
1065,827296225955180544
1066,30366928
1067,80398295
1068,
1069,
1070,54983317
1071,
1072,7517222
1073,990308046
1074,2919058837
1075,16101626
1076,
1077,2881492368
1078,23002129
1079,14686881
1080,17288348
1081,
1082,89858807
1083,
1084,6608082
1085,741372751
1086,3117241694
1087,
1088,
1089,4075579096
1090,
1091,44208467
1092,402156231
1093,
1094,
1095,39811068
1096,
1097,1349909704173002753
1098,
1099,8845592
1100,
1101,17215802
1102,41132801
1103,
1104,
1105,
1106,
1107,
1108,96242829
1109,
1110,18570772
1111,19262500
1112,13950832
1113,4477949054
1114,19033464
1115,3044084388
1116,2155502052
1117,1153561842632888320
1118,48001451
1119,842350541984346113
1120,3061863879
